job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Sheriff's Commissary Stores Supervisor,,,,,4.38%,4.88%,4.38%,13.65%,,,,,,,,,,
Sheriff's Communications Dispatcher,Training Premium for time training new staff,10%,,,4.00%,4.06%,3.56%,11.62%,,,,,,,,,,
Sheriff's Detention Chief Mental Health Clin,,,,,4.14%,4.64%,4.14%,12.93%,,,,,,,,,,
Sheriff's Detention Mental Health Case Mgt Clinician,,,,,4.17%,4.67%,4.17%,13.02%,,,,,,,,,,
Sheriff's Detention Mental Health Clin,,,,,4.00%,4.32%,3.82%,12.13%,,,,,,,,,,
Sheriff's Detention Processng Assistant Mg,,,,,4.00%,3.56%,3.06%,10.62%,,,,,,,,,,
Sheriff's Detentions LVN,,,,,4.71%,5.21%,4.71%,14.63%,,,,,,,,,,
Sheriff's Detentions Nurse,,,,,5.15%,5.65%,5.15%,15.96%,,,,,,,,,,
Sheriff's Detentions Supervising Nurse,,,,,4.98%,5.48%,4.98%,15.44%,,,,,,,,,,
Sheriff's Emergency Services Disp Trne,,,,,5.52%,6.02%,5.52%,17.07%,,,,,,,,,,
Sheriff's Emergency Services Dispatcher,Training Premium for time training new staff,10%,,,4.00%,4.29%,3.79%,12.09%,,,,,,,,,,
Sheriff's Fingerprint Examiner,,,,,4.13%,4.63%,4.13%,12.88%,,,,,,,,,,
Sheriff's Investigative Specialist,,,,,5.17%,5.67%,5.17%,16.02%,,,,,,,,,,
Sheriff's Licensing Clerk I,Training Premium for time spent training providing on the job training,5%,,,4.74%,5.24%,4.74%,14.72%,,,,,,,,,,
Sheriff's Licensing Clerk II,Training Premium for time spent training providing on the job training,5%,,,4.61%,5.11%,4.61%,14.32%,,,,,,,,,,
Sheriff's Licensing Specialist,Training Premium for time spent training providing on the job training,5%,,,4.61%,5.11%,4.61%,14.33%,,,,,,,,,,
Sheriff's Licensing Supervisor,,,,,4.77%,5.27%,4.77%,14.82%,,,,,,,,,,
Sheriff's Operations Supervisor,,,,,4.28%,4.78%,4.28%,13.33%,,,,,,,,,,
